mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate,param_clf__learning_rate_init,param_clf__solver,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
41.17814326286316,0.0,0.029349327087402344,0.0,relu,0.0001,"(200,)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8960434445306439,0.8960434445306439,0.0,5
20.45631432533264,0.0,0.023796796798706055,0.0,relu,0.0001,"(100, 100)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8766485647788984,0.8766485647788984,0.0,41
35.534536361694336,0.0,0.022579669952392578,0.0,relu,0.0001,"(100, 100)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8285492629945694,0.8285492629945694,0.0,91
8.73379373550415,0.0,0.023729324340820312,0.0,relu,0.0001,"(100, 100)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8580294802172227,0.8580294802172227,0.0,77
35.996784687042236,0.0,0.023630380630493164,0.0,relu,0.0001,"(100, 100)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8859581070597362,0.8859581070597362,0.0,27
20.202181577682495,0.0,0.024091243743896484,0.0,relu,0.0001,"(100, 100)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8766485647788984,0.8766485647788984,0.0,41
36.375922441482544,0.0,0.024684429168701172,0.0,relu,0.0001,"(100, 100)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8285492629945694,0.8285492629945694,0.0,91
8.952960014343262,0.0,0.023720741271972656,0.0,relu,0.0001,"(100, 100)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8580294802172227,0.8580294802172227,0.0,77
36.115776777267456,0.0,0.041879892349243164,0.0,relu,0.0001,"(100, 100)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8859581070597362,0.8859581070597362,0.0,27
38.46442985534668,0.0,0.042662858963012695,0.0,relu,0.0001,"(200, 100)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8844065166795966,0.8844065166795966,0.0,31
66.22889614105225,0.0,0.04238772392272949,0.0,relu,0.0001,"(200, 100)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8401861908456167,0.8401861908456167,0.0,83
25.33142852783203,0.0,0.04297447204589844,0.0,relu,0.0001,"(200, 100)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8813033359193173,0.8813033359193173,0.0,33
67.3437569141388,0.0,0.039469003677368164,0.0,relu,0.0001,"(200, 100)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8859581070597362,0.8859581070597362,0.0,27
38.492154359817505,0.0,0.043318748474121094,0.0,relu,0.0001,"(200, 100)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8844065166795966,0.8844065166795966,0.0,31
66.83834314346313,0.0,0.0432887077331543,0.0,relu,0.0001,"(200, 100)",adaptive,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8401861908456167,0.8401861908456167,0.0,83
26.010426998138428,0.0,0.04340505599975586,0.0,relu,0.0001,"(200, 100)",adaptive,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8813033359193173,0.8813033359193173,0.0,33
68.05814838409424,0.0,0.0430302619934082,0.0,relu,0.0001,"(200, 100)",adaptive,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (200, 100), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8859581070597362,0.8859581070597362,0.0,27
22.679913997650146,0.0,0.01803278923034668,0.0,relu,0.001,"(100,)",constant,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8878975950349108,0.8878975950349108,0.0,21
21.764302968978882,0.0,0.029331445693969727,0.0,relu,0.001,"(100,)",constant,0.001,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.001, 'clf__solver': 'sgd'}",0.8169123351435221,0.8169123351435221,0.0,105
7.4639976024627686,0.0,0.01799798011779785,0.0,relu,0.001,"(100,)",constant,0.01,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'adam'}",0.8758727695888285,0.8758727695888285,0.0,45
22.14002275466919,0.0,0.018147706985473633,0.0,relu,0.001,"(100,)",constant,0.01,sgd,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': 0.01, 'clf__solver': 'sgd'}",0.8882854926299457,0.8882854926299457,0.0,19
22.614740133285522,0.0,0.019067049026489258,0.0,relu,0.001,"(100,)",adaptive,0.001,adam,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.001, 'clf__solver': 'adam'}",0.8878975950349108,0.8878975950349108,0.0,21
